样本编号,来源文件,决策时刻,主玩家ID,主玩家队伍,主玩家角色,决策日志,决策内容,决策参数1,决策参数2,主玩家位置X,主玩家位置Y,主玩家位置Z,主玩家武器偏航角,主玩家武器俯仰角,主玩家速度X,主玩家速度Y,主玩家速度Z,主玩家速度大小,主玩家相机X坐标,主玩家相机Y坐标,主玩家相机Z坐标,主玩家视野范围,主玩家开镜状态,主玩家Buff数量,主玩家Buff列表,当前已追踪玩家数量,敌方玩家数量,队友玩家数量,敌人平均距离,队友平均距离,10米内敌人数,20米内敌人数,10米内队友数,20米内队友数,最近敌人ID,最近敌人队伍,最近敌人角色,最近敌人距离,最近敌人相对位置X,最近敌人相对位置Y,最近敌人相对位置Z,最近敌人位置X,最近敌人位置Y,最近敌人位置Z,最近敌人武器偏航角,最近敌人武器俯仰角,最近敌人速度X,最近敌人速度Y,最近敌人速度Z,最近敌人速度大小,最近敌人相机X坐标,最近敌人相机Y坐标,最近敌人相机Z坐标,最近敌人视野范围,最近敌人开镜状态,最近敌人Buff数量,最近敌人Buff列表,最近队友ID,最近队友队伍,最近队友角色,最近队友距离,最近队友相对位置X,最近队友相对位置Y,最近队友相对位置Z,最近队友位置X,最近队友位置Y,最近队友位置Z,最近队友武器偏航角,最近队友武器俯仰角,最近队友速度X,最近队友速度Y,最近队友速度Z,最近队友速度大小,最近队友相机X坐标,最近队友相机Y坐标,最近队友相机Z坐标,最近队友视野范围,最近队友开镜状态,最近队友Buff数量,最近队友Buff列表
1,task/0001.txt,20.0,3233,5,骇爪,,,,,3577.6,-217.4,-6331.2,127.3,0.0,0.0,0.0,0.0,0.0,3577.6,-216.8,-6331.2,88.5,0.0,0,,22,6,1,392.1260529450269,0.8602325267039396,0,0,1,1,4587,3,露娜,86.4084486609966,-49.90000000000009,4.5,-70.40000000000055,3527.7,-212.9,-6401.6,88.5,1.0,0.0,0.0,0.0,0.0,3527.3,-212.2,-6401.6,79.3,0.0,0,,9443,5,露娜,0.8602325267039396,-0.6999999999998181,-0.29999999999998295,0.3999999999996362,3576.9,-217.7,-6330.8,127.3,0.0,0.0,0.0,0.0,0.0,3576.9,-217.2,-6330.8,90.0,0.0,1,1643
2,task/0002.txt,20.0,2115,3,蝶,,,,,3768.2,-252.7,-4620.7,159.4,348.4,-2.5,0.0,0.9,2.6570660511172846,3768.2,-252.0,-4620.7,90.0,0.0,0,,20,10,2,280.57459595401195,36.17908593531078,0,0,0,0,7335,2,骇爪,151.88604280841605,-112.69999999999982,2.1999999999999886,-101.80000000000018,3655.5,-250.5,-4722.5,117.0,8.3,0.0,0.0,0.0,0.0,3655.5,-249.9,-4722.5,90.0,0.0,1,792,7011,3,银翼,24.973786256792998,0.8000000000001819,-7.199999999999989,23.899999999999636,3769.0,-259.9,-4596.8,276.3,345.3,0.3,0.0,-3.0,3.014962686336267,3769.0,-259.3,-4596.8,84.0,0.0,0,
3,task/0003.txt,20.0,8131,1,露娜,,,,,6720.2,-214.4,-4383.1,133.5,1.1,-5.2,0.0,5.5,7.569015788066505,6720.2,-213.8,-4383.1,90.0,0.0,0,,18,0,2,,47.83926068348097,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0274,1,威龙,31.684381010207403,21.0,1.0999999999999943,-23.699999999999818,6741.2,-213.3,-4406.8,130.9,350.0,-4.6,1.3,5.4,7.211795892841117,6741.2,-212.7,-4406.8,90.9,0.0,5,1152；1153；1154；1155；1156
4,task/0004.txt,20.0,0853,6,威龙,,,,,3199.4,-163.9,-7640.0,0.0,0.0,0.0,0.0,0.0,0.0,3199.4,-164.0,-7640.0,89.9,0.0,0,,13,5,0,577.9174650876994,,0,0,0,0,5188,4,无名,503.4952432744523,421.0999999999999,2.5,-276.0,3620.5,-161.4,-7916.0,18.6,358.5,1.2,0.0,0.4,1.2649110640673518,3620.5,-161.0,-7916.0,90.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,0,
5,task/0005.txt,20.0,3681,3,骇爪,,,,,3693.3,-250.3,-4521.3,48.6,0.0,0.0,0.0,0.0,0.0,3693.3,-249.7,-4521.3,90.0,0.0,13,101；102；28；29；41；44；45；46；47；48；49；50；51,20,17,2,247.8117228868914,2.031806725741345,0,0,2,2,3910,5,骇爪,162.75653596706937,149.0999999999999,2.8000000000000114,65.19999999999982,3842.4,-247.5,-4456.1,142.9,0.0,0.0,0.0,0.0,0.0,3842.4,-246.8,-4456.1,90.0,0.0,13,117；118；33；34；43；84；85；86；87；88；89；90；91,2703,3,疾风,1.6552945357246078,-1.5,0.0,0.6999999999998181,3691.8,-250.3,-4520.6,16.5,0.0,0.0,0.0,0.0,0.0,3691.8,-249.7,-4520.6,90.0,0.0,16,103；105；35；36；42；72；73；74；75；76；77；78；79；80；81；82
6,task/0006.txt,20.0,8304,4,30008,,,,,3819.7,-247.3,-4626.0,183.9,353.5,0.0,0.0,0.0,0.0,3819.7,-246.8,-4626.0,120.0,0.0,2,1124；1152,20,13,2,162.25579987771548,6.547700132182311,0,1,2,2,1981,5,无名,14.280406156688793,-12.699999999999818,-5.799999999999983,-3.0,3807.0,-253.1,-4629.0,167.1,4.2,0.0,0.0,0.0,0.0,3807.0,-253.2,-4629.0,90.8,0.0,9,1121；1126；1134；1135；1140；1144；1148；1155；1156,1460,4,蝶,5.008991914546915,-4.799999999999727,0.30000000000001137,-1.3999999999996362,3814.9,-247.0,-4627.4,101.7,358.8,0.0,0.0,0.0,0.0,3814.5,-246.4,-4627.5,40.0,0.0,1,1154
7,task/0007.txt,20.0,3681,3,骇爪,,,,,3759.8,-237.2,-4346.9,9.6,346.8,2.2,1.2,0.5,2.5553864678361276,3759.8,-236.5,-4346.9,100.4,0.0,0,,20,16,2,232.49676614474518,34.928789988701816,0,0,0,0,3078,6,红狼,43.55754814036224,41.79999999999973,11.899999999999977,2.899999999999636,3801.6,-225.3,-4344.0,52.8,349.9,2.0,0.0,-1.6,2.5612496949731396,3801.3,-224.6,-4343.8,77.3,0.0,1,562,2703,3,疾风,28.478237305002192,-24.800000000000182,-6.100000000000023,-12.600000000000364,3735.0,-243.3,-4359.5,51.6,359.4,3.1,0.0,3.9,4.98196748283246,3735.0,-242.6,-4359.5,120.0,0.0,1,558
8,task/0008.txt,20.0,4029,4,蜂医,,,,,6550.4,-222.8,-4432.6,44.7,357.2,3.4,0.0,7.7,8.417244204607586,6550.4,-222.2,-4432.6,90.0,0.0,0,,16,13,1,225.73847835646615,2.0099751242242507,0,0,1,1,4537,2,蜂医,110.94723971329822,61.70000000000073,13.600000000000023,-91.19999999999982,6612.1,-209.2,-4523.8,325.9,345.3,-0.2,0.0,-0.3,0.36055512754639896,6611.9,-208.6,-4524.1,84.0,0.0,0,,3148,4,蜂医,2.0099751242242507,2.0,0.0,0.2000000000007276,6552.4,-222.8,-4432.4,206.5,357.1,-3.5,0.0,-1.9,3.9824615503479754,6552.4,-222.2,-4432.4,90.0,0.0,0,
9,task/0009.txt,20.0,1946,6,无名,,,,,3405.0,-169.9,-7807.9,228.7,10.8,1.9,0.0,-3.5,3.9824615503479754,3405.0,-169.2,-7807.9,95.0,0.0,2,561；562,15,13,1,326.2569144451091,33.95673718130166,0,0,0,0,5868,1,红狼,65.54639578191957,13.599999999999909,1.5999999999999943,-64.10000000000036,3418.6,-168.3,-7872.0,78.6,356.4,3.7,0.7,-0.8,3.849675310984032,3418.6,-167.7,-7872.0,84.0,0.0,0,,1545,6,无名,33.95673718130166,-29.09999999999991,0.0,-17.5,3375.9,-169.9,-7825.4,70.7,357.7,0.2,0.0,0.6,0.6324555320336759,3375.9,-169.2,-7825.4,104.8,0.0,1,550
10,task/0010.txt,20.0,3681,3,骇爪,,,,,3693.3,-250.3,-4521.3,48.6,0.0,0.0,0.0,0.0,0.0,3693.3,-249.7,-4521.3,90.0,0.0,13,101；102；28；29；41；44；45；46；47；48；49；50；51,20,17,2,247.8117228868914,2.031806725741345,0,0,2,2,3910,5,骇爪,162.75653596706937,149.0999999999999,2.8000000000000114,65.19999999999982,3842.4,-247.5,-4456.1,142.9,0.0,0.0,0.0,0.0,0.0,3842.4,-246.8,-4456.1,90.0,0.0,13,117；118；33；34；43；84；85；86；87；88；89；90；91,2703,3,疾风,1.6552945357246078,-1.5,0.0,0.6999999999998181,3691.8,-250.3,-4520.6,16.5,0.0,0.0,0.0,0.0,0.0,3691.8,-249.7,-4520.6,90.0,0.0,16,103；105；35；36；42；72；73；74；75；76；77；78；79；80；81；82
